iter	Passed	Remaining
0	139	139774
1	142	70934
2	143	47790
3	144	36037
4	145	29025
5	146	24346
6	147	20987
7	148	18446
8	149	16459
9	150	14872
10	150	13572
11	151	12494
12	152	11609
13	153	10816
14	154	10122
15	154	9511
16	155	8971
17	155	8490
18	157	8145
19	158	7756
20	158	7401
21	159	7086
22	159	6790
23	160	6519
24	160	6269
25	161	6038
26	161	5828
27	162	5628
28	162	5444
29	163	5270
30	163	5111
31	163	4959
32	164	4815
33	164	4682
34	165	4554
35	165	4434
36	166	4322
37	166	4215
38	166	4112
39	167	4015
40	167	3929
41	168	3841
42	168	3757
43	169	3676
44	169	3599
45	170	3526
46	170	3456
47	171	3391
48	173	3365
49	174	3308
50	174	3248
51	174	3189
52	175	3133
53	175	3079
54	176	3026
55	176	2976
56	176	2927
57	177	2881
58	177	2835
59	178	2795
60	178	2753
61	179	2712
62	179	2672
63	180	2639
64	180	2602
65	181	2567
66	181	2533
67	182	2495
68	182	2462
69	182	2430
70	183	2401
71	183	2371
72	184	2341
73	184	2312
74	185	2284
75	185	2256
76	186	2230
77	186	2205
78	188	2197
79	189	2176
80	189	2152
81	190	2130
82	190	2107
83	191	2084
84	191	2060
85	191	2038
86	192	2015
87	192	1994
88	192	1973
89	193	1953
90	193	1934
91	194	1915
92	194	1896
93	194	1879
94	195	1861
95	195	1845
96	196	1828
97	196	1811
98	197	1795
99	197	1780
100	198	1766
101	198	1749
102	199	1733
103	199	1721
104	200	1706
105	200	1692
106	201	1678
107	201	1665
108	204	1668
109	204	1656
110	205	1642
111	205	1629
112	205	1616
113	206	1604
114	206	1591
115	207	1578
116	207	1566
117	208	1555
118	208	1543
119	208	1531
120	209	1520
121	209	1509
122	209	1496
123	210	1485
124	210	1475
125	211	1464
126	211	1454
127	211	1443
128	212	1434
129	212	1424
130	213	1414
131	213	1405
132	214	1395
133	214	1386
134	214	1377
135	215	1367
136	215	1359
137	216	1349
138	216	1341
139	217	1334
140	219	1337
141	220	1330
142	220	1321
143	220	1313
144	221	1305
145	221	1297
146	222	1289
147	222	1281
148	223	1274
149	223	1267
150	224	1260
151	224	1253
152	225	1246
153	225	1239
154	226	1232
155	226	1225
156	227	1219
157	227	1212
158	227	1205
159	228	1198
160	228	1191
161	229	1184
162	229	1178
163	229	1172
164	230	1165
165	230	1159
166	231	1152
167	231	1146
168	231	1140
169	232	1134
170	233	1132
171	234	1128
172	235	1124
173	235	1119
174	236	1115
175	237	1110
176	237	1105
177	238	1099
178	238	1094
179	238	1088
180	239	1082
181	239	1076
182	239	1071
183	240	1067
184	241	1062
185	241	1057
186	242	1052
187	242	1047
188	242	1042
189	243	1038
190	244	1035
191	245	1031
192	245	1026
193	245	1021
194	246	1016
195	247	1013
196	247	1008
197	248	1004
198	248	1000
199	249	996
200	249	991
201	250	988
202	250	984
203	251	980
204	251	975
205	252	971
206	252	967
207	253	964
208	253	959
209	254	956
210	254	952
211	255	948
212	255	943
213	256	940
214	256	936
215	256	932
216	257	928
217	257	925
218	258	921
219	259	918
220	259	914
221	259	910
222	260	907
223	260	903
224	261	899
225	261	896
226	262	893
227	262	889
228	263	886
229	264	884
230	265	883
231	266	881
232	267	879
233	268	877
234	268	874
235	269	872
236	270	869
237	270	865
238	270	862
239	271	859
240	271	856
241	272	853
242	272	850
243	273	847
244	274	844
245	274	842
246	275	839
247	275	836
248	276	833
249	276	830
250	277	827
251	277	824
252	278	821
253	279	821
254	280	819
255	281	817
256	282	815
257	282	812
258	283	810
259	283	807
260	284	805
261	284	802
262	285	800
263	286	797
264	286	795
265	287	792
266	287	789
267	287	786
268	288	783
269	288	780
270	289	778
271	289	775
272	290	772
273	290	769
274	291	767
275	291	765
276	292	762
277	292	759
278	292	756
279	293	754
280	293	751
281	294	749
282	295	747
283	295	745
284	296	743
285	296	740
286	297	738
287	297	735
288	297	733
289	298	730
290	298	728
291	299	725
292	299	723
293	300	720
294	300	718
295	301	716
296	301	714
297	302	712
298	302	709
299	303	707
300	303	704
301	303	702
302	304	700
303	304	698
304	305	695
305	305	693
306	306	691
307	306	688
308	306	686
309	307	684
310	307	681
311	308	679
312	309	678
313	309	676
314	310	675
315	311	673
316	311	671
317	311	669
318	312	666
319	312	665
320	313	662
321	313	660
322	314	658
323	314	656
324	315	654
325	315	652
326	316	650
327	316	648
328	316	646
329	317	643
330	317	642
331	318	640
332	318	638
333	319	636
334	319	634
335	320	632
336	320	630
337	321	628
338	321	626
339	321	624
340	322	623
341	323	621
342	323	619
343	324	619
344	325	618
345	326	616
346	327	615
347	327	613
348	327	611
349	328	609
350	328	607
351	329	606
352	329	604
353	329	602
354	330	600
355	330	598
356	331	596
357	331	594
358	332	592
359	332	591
360	333	589
361	333	587
362	333	585
363	334	583
364	334	582
365	334	580
366	335	578
367	336	577
368	336	575
369	336	573
370	337	572
371	338	570
372	338	568
373	338	567
374	339	565
375	339	564
376	340	562
377	341	561
378	341	559
379	341	557
380	342	556
381	342	554
382	343	553
383	343	551
384	344	549
385	344	548
386	345	546
387	345	545
388	346	543
389	346	542
390	347	540
391	347	539
392	348	538
393	348	536
394	349	535
395	349	533
396	350	532
397	350	530
398	351	529
399	351	527
400	352	526
401	352	524
402	353	523
403	353	521
404	353	519
405	354	518
406	355	517
407	355	516
408	356	514
409	356	513
410	357	511
411	357	510
412	357	508
413	358	507
414	359	506
415	359	504
416	360	503
417	360	501
418	360	500
419	361	499
420	362	498
421	362	496
422	363	495
423	363	494
424	364	492
425	365	491
426	365	490
427	366	489
428	366	488
429	367	486
430	367	485
431	368	484
432	368	482
433	369	481
434	369	480
435	370	479
436	370	477
437	371	476
438	371	475
439	372	473
440	373	472
441	373	471
442	374	470
443	374	469
444	374	467
445	375	466
446	376	465
447	376	463
448	377	462
449	377	461
450	378	460
451	378	459
452	379	457
453	380	457
454	381	456
455	381	455
456	382	454
457	383	453
458	384	452
459	384	451
460	384	449
461	385	448
462	386	448
